"sidoNm","name","address","beerType","desc","naverUrl","homepageUrl","x","y"
"서울","보리마루 탭하우스","서울 종로구 자하문로2길 20 하늘빌딩 2층","탭룸",,"https://map.naver.com/v5/entry/place/38667685",,"126.97380366852325","37.576358081136"
"서울","서울집시","서울 종로구 서순라길 107","브루펍",,"https://map.naver.com/v5/entry/place/1311007811",,"126.99153990317394","37.57503307431422"
"서울","MANRI199","서울 중구 만리재로 199 1층","탭룸",,"https://map.naver.com/v5/entry/place/372557663",,"126.96771244350927","37.55546492888854"
"서울","끽비어컴퍼니","서울 중구 을지로 157","브루펍",,"https://map.naver.com/v5/entry/place/1987256089",,"126.99544760711507","37.567122596758296"
"서울","헤이웨이브","서울 중구 퇴계로84길 25","탭룸",,"https://map.naver.com/v5/entry/place/1461483258",,"127.01947657217158","37.56473761827068"
"서울","개포술장","서울 강남구 논현로 4 ","바틀샵",,"http://naver.me/FAr8GVuv",,"127.05088078354957","37.47204154543177"
"서울","Play Unknown Beer","서울 마포구 토정로3길 22 1층","탭룸",,"http://naver.me/GJrFhF0C",,"126.91457065443885","37.546505136169905"
"서울","히든트랙","서울 동대문구 약령시로 6","탭룸",,"http://naver.me/FwnAACx9",,"127.03049338141696","37.58253038757705"
"서울","맥파이 이태원","서울 용산구 녹사평대로 244-1","탭룸","이태원하면 맥파이, 맥파이하면 이태원. ","https://map.naver.com/v5/entry/place/31531247",,"37.5394493642832","126.98746714482"
"서울","보글하우스","서울 종로구 삼일대로32길 44 1층","탭룸","","https://naver.me/FyxLB3tp",,"37.5754617839556","126.989373460966"
"서울","수도원","서울 종로구 동숭3길 16","탭룸","벨기에의 수도원을 그대로 옮겨놓은 듯한 펍","https://map.naver.com/v5/entry/place/37691225",,"37.5817306522626","127.004766952175"
"서울","백이의","서울 성동구 연무장길 3 3층","탭룸","벨기에 맥주 전문펍","https://map.naver.com/v5/entry/place/1060827023",,"37.5441538869212","127.050089419851"
"서울","그리드채플린","서울 성동구 아차산로7길 15-1 효정빌딩","탭룸","30가지 이상의 수제 맥주를 제공하는 탭룸","https://map.naver.com/v5/entry/place/559063824",,"37.54646174652","127.054474886314"
"서울","올리브루잉","서울 종로구 창경궁로 240-7 1층 울리브루잉","브루펍","","https://map.naver.com/v5/entry/place/1781472759",,"37.5824080214652","126.999038358936"
"서울","서울집시 한남점","서울 용산구 이태원로42길 28-4","탭룸","종로의 서울집시가 이태원에도 찾아왔습니다.","https://map.naver.com/v5/entry/place/1690760273",,"37.5358791840377","127.000392156343"
"서울","LINGO 1호점","서울 관악구 신림로 85 ","탭룸","수입 생맥주 하면 떠오르는 서울대입구의 펍","https://map.naver.com/v5/entry/place/19862135",,"37.4703282742154","126.939920253255"
"서울","칠홉스 이태원","서울 용산구 녹사평대로40다길 2 지하1층","탭룸","서산의 칠홉스가 이태원에 자리를 잡았습니다. ","https://map.naver.com/v5/entry/place/1581270910",,"37.5349594195156","126.98845574245"
"서울","마디그라","서울특별시 종로구 우정국로2길 29 ","탭룸","뉴올리언스 마디 그라축제를 모티브로한 가게로, 미국식 음식과 수제맥주를 판매합니다.","https://naver.me/5qReHwD8",,"37.5696700269954","126.984636965167"
"울산","멕켄지","울산 중구 학성로 83","탭룸",,"https://map.naver.com/v5/entry/place/1204723138",,"129.32006389579183","35.55518581321388"
"울산","화수브루어리","울산 남구 왕생로 36","브루펍",,"https://map.naver.com/v5/entry/place/1620469840",,"129.3322270567295","35.53667990162409"
"울산","트레비어 양조장","울산 울주군 언양읍 반구대로 1305-2","브루펍",,"https://map.naver.com/v5/entry/place/37069573",,"129.14134781868708","35.6047739677362"
"인천","브로이인탭하우스","인천 부평구 시장로20번길 23 ","탭룸",,"https://map.naver.com/v5/entry/place/34698935",,"126.72643734231168","37.49255361569939"
"인천","올빼미브루펍","인천 남동구 인하로507번길 63 ","탭룸",,"https://map.naver.com/v5/entry/place/935158690",,"126.70283353032384","37.44618570388456"
"인천","플레이그라운드 브루어리 탭룸 송도","인천 연수구 컨벤시아대로 80 ","탭룸",,"https://map.naver.com/v5/entry/place/137449520",,"126.64951809433816","37.39559606335283"
"인천","엑스트라스몰 브루잉룸","인천 연수구 청명로 19","브루펍",,"http://naver.me/5X9wReVq",,"126.67522412509415","37.41757132761446"
"인천","어메이징브루잉컴퍼니","인천 연수구 송도과학로16번길 33-3","브루펍",,"https://map.naver.com/v5/entry/place/436590215",,"126.66125006449604","37.37981788341741"
"인천","인천맥주","인천 중구 신포로15번길 41 ","브루펍",,"https://map.naver.com/v5/entry/place/1587888300",,"126.62219577375281","37.47151493850722"
"전라","파머스브루어리","전북 전주시 완산구 전주객사1길 15 ","브루펍",,"https://map.naver.com/v5/entry/place/1651502871",,"127.14003395278483","35.817242631019795"
"전라","583 양조장","전북 장수군 장계면 의암로 583-8","브루펍 ",,"https://map.naver.com/v5/entry/place/1977932103",,"127.62051225298096","35.68271720988054"
"전라","순천양조장","전남 순천시 역전길 57","브루펍",,"https://map.naver.com/v5/entry/place/1572495190",,"127.49874344587695","34.947396035620294"
"전라","군산비어포트","전북 군산시 해망로 146-24","브루펍",,"https://map.naver.com/v5/entry/place/1293874448",,"126.72103653453209","35.98805271865499"
"전라","오매","전남 여수시 안심산길 23-1","브루펍",,"http://naver.me/5wfrPGW6",,"127.6438441003571","34.7590956025748"
"전라","노매딕 브루잉 컴퍼니","전북 전주시 완산구 전라감영3길 12-10","브루펍",,"https://map.naver.com/v5/entry/place/1080013888",,"127.14379518630139","35.81642148444836"
"전라","맥","전라북도 완산구 전라감영4길 13-16 1동 101호","탭룸","맥파이 맥주를 판매하는 탭룸입니다.","https://naver.me/xiXOt7vJ",,"35.8167728598195","127.143761179731"
"제주","맥파이 탑동점","제주  제주시 탑동로2길 7 2층","탭룸",,"https://map.naver.com/v5/entry/place/35877514",,"126.5233594330633","33.51798733411506"
"제주","제주약수터","제주 서귀포시 중앙로 35","탭룸",,"https://map.naver.com/v5/entry/place/1259656724",,"126.5617043689411","33.24773327682641"
"제주","펭귄맥주","제주 제주시 구산로 22-7 102호","탭룸",,"https://map.naver.com/v5/entry/place/1618293647",,"126.53689430357694","33.48304329256463"
"제주","스톤아일랜드탭하우스","제주 제주시 삼무로7길 16 ","탭룸",,"https://map.naver.com/v5/entry/place/1244422132",,"126.4932565337156","33.492444165813644"
"제주","사우스바운더","제주 서귀포시 예래로 33","브루펍",,"https://map.naver.com/v5/entry/place/1655818658",,"126.40239014963714","33.25651985063594"
"제주","나들가게기영상회","제주 제주시 한림읍 한림로 345","바틀샵",,"https://map.naver.com/v5/entry/place/30991666",,"126.24087540173299","33.39437171986287"
"제주","고브루","제주 서귀포시 남성중로 171","브루펍",,"https://map.naver.com/v5/entry/place/1159492732",,"126.55253248432831","33.24705984636476"
"제주","맥파이 브루어리","제주 제주시 동회천1길 23","브루펍",,"https://map.naver.com/v5/entry/place/38350155",,"126.6173029678339","33.50290817463424"
"제주","드링킹타이거","제주 제주시 한림읍 한림로 328 2층","탭룸","","https://naver.me/53Xnk1ZU",,"33.392812494207","126.239983570873"
"제주","제주약수터 올레시장점","제주 서귀포시 중앙로48번길 10","탭룸",,"https://map.naver.com/v5/entry/place/1777244767",,"126.56271194200576","33.24900654383086"
"제주","달맥","제주 제주시 광양13길 6-2","탭룸",,"https://map.naver.com/v5/entry/place/1098048149",,"126.53129920364556","33.49855654716437"
"충청","순성브루어리","충남 당진시 순성면 매실로 394","브루펍",,"https://map.naver.com/v5/entry/place/1791645823",,"126.70716354147298","36.830565420925105"
"충청","바이젠하우스","충남 공주시 우성면 성곡길 125","브루펍",,"https://map.naver.com/v5/entry/place/38331604",,"127.07088772458657","36.488866769869254"
"충청","블루웨일브루하우스","충북 충주시 사직로 109 ","브루펍",,"https://map.naver.com/v5/entry/place/1935643014",,"127.92480968133745","36.96760505479544"
"충청","홀리데이펍","충북 청주시 서원구 내수동로108번길 51 ,1층","탭룸",,"https://map.naver.com/v5/entry/place/1131779179",,"127.45737496370869","36.632172750822484"
"충청","칠홉스브루잉","충남 서산시 동서1로 148-3 1층","브루펍",,"https://map.naver.com/v5/entry/place/1167994624",,"126.45457509942464","36.7669604402634"
"충청","크래프트힐","충남 천안시 서북구 불당31길 3-3 102호","브루펍",,"https://map.naver.com/v5/entry/place/38467339",,"127.10506277305865","36.81013566347257"
