"idx","sidoNm","name","naverUrl","address","beerType","desc","homepage","x","y"
117,전라,노매딕 브루잉 컴퍼니,https://map.naver.com/v5/entry/place/1080013888,전북 전주시 완산구 전라감영3길 12-10,브루펍,,http://instagram.com/nomadicbrewingco,"127.14379518630139","35.81642148444836"
118,전라,"583 양조장",https://map.naver.com/v5/entry/place/1977932103,전북 장수군 장계면 의암로 583-8,브루펍 ,,http://www.583beer.modoo.at,"127.62051225298096","35.68271720988054"
119,전라,순천양조장,https://map.naver.com/v5/entry/place/1572495190,전남 순천시 역전길 57,브루펍,,https://www.instagram.com/suncheon_brewery/,"127.49874344587695","34.947396035620294"
120,전라,군산비어포트,https://map.naver.com/v5/entry/place/1293874448,전북 군산시 해망로 146-24,브루펍,,https://www.instagram.com/gunsan_beerport/,"126.72103653453209","35.98805271865499"
121,광주,비아브루어리,https://map.naver.com/v5/entry/place/1995857688,광주 광산구 임방울대로826번길 47,브루펍,,https://www.instagram.com/via_pub/,"126.84920626133507","35.215306469834594"
122,부산,툼브로이,https://map.naver.com/v5/entry/place/1791164031,부산 해운대구 해운대로 1244,브루펍,,https://www.instagram.com/turmbrau_korea/,"129.20591991287455","35.1957892345854"
123,부산,와일드웨이브,https://map.naver.com/v5/entry/place/37642698,부산 해운대구 송정중앙로5번길 106-1,브루펍,,https://www.wildwavebrew.com/,"129.20353390321944","35.18781108629253"
124,부산,부산프라이드브루어리,https://map.naver.com/v5/entry/place/1094824462,부산 기장군 기장읍 동서길 84-2,브루펍,,http://busanpridebrewery.com/,"129.19904009513226","35.25822517944309"
125,부산,갈매기브루잉 광안본점,https://map.naver.com/v5/entry/place/37293668,부산광역시 수영구 광남로 125,브루펍,,https://www.instagram.com/galmegibrewing_gwangan/,"129.11618119001702","35.15273431486188"
126,부산,갈매기브루잉 해운대점,https://map.naver.com/v5/entry/place/37337102,부산광역시 해운대구 해운대해변로 265번길 9,브루펍,,https://www.instagram.com/galmegibrewinghaeundae/,"129.1607415269262","35.160361225900914"
127,부산,갈매기브루잉 남포점,https://map.naver.com/v5/entry/place/37828107,"부산광역시 중구 광복로 21-3, 2층",브루펍,,https://www.instagram.com/galmegibrewingnampo/,"129.02755863816463","35.09954929289456"
128,부산,갈매기브루잉 경성대점,https://map.naver.com/v5/entry/place/969276822,"부산 남구 수영로334번길 13, 2층",브루펍,,https://www.instagram.com/galmegi_brewing_ksu/,"129.10271187077592","35.13786152710396"
129,부산,허심청브로이,https://map.naver.com/v5/entry/place/31558252,부산 동래구 금강공원로20번길 23,브루펍,,,"129.08260268152748","35.2199020564095"
130,부산,고릴라브루잉 해운대,https://map.naver.com/v5/entry/place/1041542249,부산 해운대구 해운대로570번길 46,브루펍,,http://www.gorilla.beer,"129.15872583392107","35.15980599688941"
131,부산,고릴라브루잉,https://map.naver.com/v5/entry/place/37010572,부산 수영구 광남로 125 2층,브루펍,,http://www.gorilla.beer,"129.11618119001702","35.15273431486188"
132,부산,프라하993,https://map.naver.com/v5/entry/place/860462240,부산 수영구 구락로123번길 20,브루펍,,http://praha993.com/,"129.11542954562745","35.17760200598895"
133,부산,테트라포드 브루잉,https://map.naver.com/v5/entry/place/512550129,"부산 부산진구 중앙대로 680번가길 77, 2층",브루펍,,https://www.instagram.com/tetrapod_brewing_co/,"129.06099927187802","35.15692355909526"
134,부산,프리츠프리츠,https://map.naver.com/v5/entry/place/1915163311,부산 부산진구 전포대로255번길 43-14 2층,탭룸,,https://www.instagram.com/fritzfritz_/,"129.06283690853633","35.15881707465605"
135,부산,벤스하버,https://map.naver.com/v5/entry/place/1406027655,부산 금정구 장전로12번길 24,탭룸,,https://www.instagram.com/bensharbour/,"129.08799330429625","35.22876586282839"
136,부산,세미스피어,https://map.naver.com/v5/entry/place/1118453140,부산 금정구 장전온천천로 51,탭룸,,https://www.instagram.com/semisphere_bottleshop/?igshid=9lny22jxajbs,"129.0888157633367","35.22959375418548"
137,부산,케빈보이,https://map.naver.com/v5/entry/place/1181567996,부산 부산진구 부전로20번길 26,바틀샵,,https://www.instagram.com/_cabin_boy/,"129.0569513086424","35.15314530244005"
138,부산,거품안넘치게따라줘,https://map.naver.com/v5/entry/place/1437444827,부산 부산진구 서전로9번길 14,바틀샵,,https://www.instagram.com/nobubble.please/?utm_medium=copy_link,"129.06082211043244","35.15845655328469"
139,울산,트레비어 양조장,https://map.naver.com/v5/entry/place/37069573,울산 울주군 언양읍 반구대로 1305-2,브루펍,,http://www.trevier.co.kr,"129.14134781868708","35.6047739677362"
140,울산,멕켄지,https://map.naver.com/v5/entry/place/1204723138,울산 중구 학성로 83,탭룸,,http://www.instagram.com/Ulsan_Mckenzie,"129.32006389579183","35.55518581321388"
141,울산,화수브루어리,https://map.naver.com/v5/entry/place/1620469840,울산 남구 왕생로 36,브루펍,,https://www.instagram.com/whasoobrewery/,"129.3322270567295","35.53667990162409"
142,제주,맥파이 브루어리,https://map.naver.com/v5/entry/place/38350155,제주 제주시 동회천1길 23,브루펍,,http://www.magpiebrewing.com/,"126.6173029678339","33.50290817463424"
143,제주,맥파이 탑동점,https://map.naver.com/v5/entry/place/35877514,제주  제주시 탑동로2길 7 2층,탭룸,,http://www.magpiebrewing.com/,"126.5233594330633","33.51798733411506"
144,제주,고브루,https://map.naver.com/v5/entry/place/1159492732,제주 서귀포시 남성중로 171,브루펍,,http://www.instagram.com/gobrew_jeju,"126.55253248432831","33.24705984636476"
145,제주,제주약수터,https://map.naver.com/v5/entry/place/1259656724,제주 서귀포시 중앙로 35,탭룸,,http://www.instagram.com/jeju_beer_fountain,"126.5617043689411","33.24773327682641"
146,제주,제주약수터 올레시장점,https://map.naver.com/v5/entry/place/1777244767,제주 서귀포시 중앙로48번길 10,탭룸,,http://www.instagram.com/jeju_beer_fountain,"126.56271194200576","33.24900654383086"
147,제주,펭귄맥주,https://map.naver.com/v5/entry/place/1618293647,제주 제주시 구산로 22-7 102호,탭룸,,https://www.instagram.com/penguin_beer_jeju/,"126.53689430357694","33.48304329256463"
148,제주,달맥,https://map.naver.com/v5/entry/place/1098048149,제주 제주시 광양13길 6-2,탭룸,,http://instagram.com/moonbeer_jeju,"126.53129920364556","33.49855654716437"
149,제주,스톤아일랜드탭하우스,https://map.naver.com/v5/entry/place/1244422132,제주 제주시 삼무로7길 16 ,탭룸,,http://instagram.com/stoneisland_taphouse,"126.4932565337156","33.492444165813644"
150,제주,사우스바운더,https://map.naver.com/v5/entry/place/1655818658,제주 서귀포시 예래로 33,브루펍,,https://www.instagram.com/southbounderbrewery/,"126.40239014963714","33.25651985063594"
151,제주,나들가게기영상회,https://map.naver.com/v5/entry/place/30991666,제주 제주시 한림읍 한림로 345,바틀샵,,https://www.instagram.com/josiesbottleshop/,"126.24087540173299","33.39437171986287"
152,경기,아트몬스터 성복역점,https://map.naver.com/v5/entry/place/1101792922,"경기 용인시 수지구 성복2로 51 A동 105호, 106호",브루펍,,https://www.instagram.com/artmonsterbrewery,"127.07885893579697","37.31363628434012"
153,경기,세븐브로이펍_향남점,https://map.naver.com/v5/entry/place/38002814,경기 화성시 향남읍 발안로 64,브루펍,,https://www.instagram.com/sevenbrau/,"126.91724224741479","37.13142639942774"
154,경기,세븐브로이펍_중동점,https://map.naver.com/v5/entry/place/1926749539,경기 부천시 원미구 중동 조마루로291번길 56,브루펍,,https://www.instagram.com/sevenbrau/,"126.77562250769267","37.50005646792257"
155,경기,카브루_상색_브루어리,,경기 가평군 가평읍 연갈길 20 ,브루펍,,https://www.instagram.com/kabrewbeer,"127.47868479437872","37.79453240146176"
156,서울,세븐브로이펍_여의도점,https://map.naver.com/v5/entry/place/1050197895,서울 영등포구 국회대로74길 9 삼보빌딩 2층,브루펍,,https://www.instagram.com/sevenbrau/,"126.92130877584808","37.53051858249191"
157,서울,크래프트원,https://map.naver.com/v5/entry/place/32762630,서울 마포구 연희로 35 2층,탭룸,,http://www.instagram.com/craftonepub,"126.92699532745608","37.56194365556744"
158,대전,에잇마일,http://naver.me/5aVteY7o,대전 서구 둔지로 52 1층 103호,탭룸,,https://www.instagram.com/8mile_pizza/,"127.37690440545445","36.35426865143343"
